,player_id,iap_amt,iap_dt
0,6467b385-589e-482b-8826-3cda30ba5f69,2.0,2020-01-13
1,6467b385-589e-482b-8826-3cda30ba5f69,1.9,2020-01-15
2,6467b385-589e-482b-8826-3cda30ba5f69,1.4,2020-01-20
3,6467b385-589e-482b-8826-3cda30ba5f69,6.8,2020-01-27
4,6467b385-589e-482b-8826-3cda30ba5f69,4.3,2020-01-30
5,6467b385-589e-482b-8826-3cda30ba5f69,1.3,2020-02-02
6,6467b385-589e-482b-8826-3cda30ba5f69,1.1,2020-02-16
7,6467b385-589e-482b-8826-3cda30ba5f69,10.6,2020-02-20
8,6467b385-589e-482b-8826-3cda30ba5f69,9.1,2020-02-22
9,6467b385-589e-482b-8826-3cda30ba5f69,2.5,2020-02-23
10,ecdcfde8-fdf4-4954-8bda-0489d22e0416,4.7,2021-01-07
11,ecdcfde8-fdf4-4954-8bda-0489d22e0416,2.1,2021-02-23
12,3eb13468-6a4e-4baa-9251-f914629e0d80,1.5,2021-02-19
13,3eb13468-6a4e-4baa-9251-f914629e0d80,1.0,2021-02-27
14,3eb13468-6a4e-4baa-9251-f914629e0d80,1.1,2021-03-09
15,3eb13468-6a4e-4baa-9251-f914629e0d80,1.6,2021-03-12
16,3eb13468-6a4e-4baa-9251-f914629e0d80,1.7,2021-03-19
17,3eb13468-6a4e-4baa-9251-f914629e0d80,2.0,2021-03-21
18,3eb13468-6a4e-4baa-9251-f914629e0d80,1.0,2021-03-22
19,3eb13468-6a4e-4baa-9251-f914629e0d80,1.8,2021-03-26
20,3356c5af-c149-4e08-9771-8a6b8bd5268f,3.3,2020-01-12
21,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.3,2020-01-14
22,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.3,2020-01-23
23,3356c5af-c149-4e08-9771-8a6b8bd5268f,2.4,2020-01-24
24,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.8,2020-01-29
25,3356c5af-c149-4e08-9771-8a6b8bd5268f,111.6,2020-02-08
26,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.3,2020-02-09
27,3356c5af-c149-4e08-9771-8a6b8bd5268f,4.6,2020-02-19
28,3356c5af-c149-4e08-9771-8a6b8bd5268f,9.6,2020-02-28
29,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.8,2020-03-05
30,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.4,2020-03-18
31,3356c5af-c149-4e08-9771-8a6b8bd5268f,6.2,2020-03-21
32,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.3,2020-03-27
33,3356c5af-c149-4e08-9771-8a6b8bd5268f,3.5,2020-03-28
34,3356c5af-c149-4e08-9771-8a6b8bd5268f,9.8,2020-03-30
35,3356c5af-c149-4e08-9771-8a6b8bd5268f,11.0,2020-04-02
36,3356c5af-c149-4e08-9771-8a6b8bd5268f,2.2,2020-04-06
37,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.4,2020-04-22
38,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.6,2020-05-08
39,3356c5af-c149-4e08-9771-8a6b8bd5268f,1.8,2020-05-20
40,8d42632b-b9e7-4d98-8f91-0a09847d8cbf,129.8,2020-06-23
41,8d42632b-b9e7-4d98-8f91-0a09847d8cbf,1.4,2020-06-28
